currentLanguage,Portuguese
operatingSystem,Latitude 7490 (Dell Inc.) [Windows 10  (10.0.0) 64bit]
ipAddress,200.20.112.178
ipCountry,BR
gameVersion,v180629
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,AQ
playID,CT-0
phase,0
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,100.590900
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.6
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,DESKTOP-G4IET5H
gameDate,191112
gameTime,155828
gameRandom,131
playerAlias,A
limitPlays,10
totalCorrect,3
successRate,0.3
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,False
finalScoreboard,false
animationType,short
showHistory,False
sendMarkersToEEG,parallel
portEEGserial,COM4
groupCode,G1-D1
leftInputKey,F
centerInputKey,G
rightInputKey,H
speedGKAnim,1.0
portSendData,0xbd00
timeFaixa0,0.1
timeFaixa1,0.1
timeFaixa2,0.1
timeFaixa3,0.1
timeFaixa4,0.1
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHits,0
minHitsInSequence,5
maxPlays,12
sequExecuted,001221120
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,0,n,2,false,8.954314,0.000000,8.957878
2,0,n,2,false,1.117298,0.000000,15.868920
3,1,n,2,false,1.272732,0.000000,22.952700
4,2,n,2,TRUE,1.045872,0.000000,29.824120
5,2,n,2,TRUE,1.206501,0.000000,37.061230
6,1,n,2,false,4.230579,0.000000,47.335400
7,1,n,2,false,1.077278,0.000000,54.006440
8,2,n,2,TRUE,3.257248,0.000000,62.862900
9,0,n,2,false,1.400574,0.000000,70.297260
