currentLanguage,Portuguese
operatingSystem,iMac14.1 [Mac OS X 10.13.6]
ipAddress,143.107.45.1
ipCountry,BR
gameVersion,v180629
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,272.250500
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,True
attentionDiameter,0.6
attentionColorStart,#E0CA3C
attentionColorCorrect,#A81A1A
attentionColorWrong,#000
playerMachine,celso.local
gameDate,190625
gameTime,155439
gameRandom,231
playerAlias,a
limitPlays,12
totalCorrect,3
successRate,0.3
gameMode,readTree
status,INTERRUPTED BY USER
playsToRelax,0
scoreboard,False
finalScoreboard,long
animationType,short
showHistory,False
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G1-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,201201201
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,2,n,2,TRUE,4.802708,0.000000,4.808123
2,0,n,2,false,4.249744,0.000000,13.676620
3,1,n,2,false,3.386784,0.000000,21.441240
4,2,n,0,false,3.125317,0.000000,28.955660
5,0,n,1,false,1.177628,0.000000,34.184320
6,1,n,0,false,44.049890,0.000000,82.795380
7,2,n,2,TRUE,8.091866,0.000000,94.952020
8,0,n,0,TRUE,36.539450,0.000000,136.098700
9,1,n,2,false,39.295730,0.000000,179.557500
