currentLanguage,Portuguese
operatingSystem,iMac14.1 [Mac OS X 10.13.6]
ipAddress,143.107.45.1
ipCountry,BR
gameVersion,v180629
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,72.779380
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,True
attentionDiameter,0.6
attentionColorStart,#E0CA3C
attentionColorCorrect,#A81A1A
attentionColorWrong,#000
playerMachine,celso.local
gameDate,190903
gameTime,123547
gameRandom,870
playerAlias,x
limitPlays,12
totalCorrect,4
successRate,0.4
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,False
finalScoreboard,long
animationType,short
showHistory,False
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G1-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,012012012012
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,0,n,2,false,5.163847,0.000000,5.194735
2,1,n,2,false,0.868221,0.000000,10.463070
3,2,n,2,TRUE,5.896448,0.000000,20.764960
4,0,n,2,false,0.956326,0.000000,26.790750
5,1,n,2,false,0.665188,0.000000,31.831440
6,2,n,2,TRUE,0.680180,0.000000,36.886540
7,0,n,2,false,1.096451,0.000000,42.591320
8,1,n,2,false,0.624371,0.000000,47.598510
9,2,n,2,TRUE,0.736549,0.000000,52.710610
10,0,n,2,false,0.800285,0.000000,58.118290
11,1,n,2,false,0.636314,0.000000,63.126290
12,2,n,2,TRUE,0.872643,0.000000,68.374530
